photos,price_reduced_amount,description.sold_price,description.sqft,description.baths,description.garage,description.stories,description.beds,products.brand_name,description.type_townhomes,days_listed,n_amenities,n_high_amenities,age_yrs,n_rooms
1,10000.0,318000.0,1003.0,2.0,0.0,1.0,2.0,1,0,77,11.0,7.0,27,4.0
1,25100.0,570000.0,2754.0,3.0,2.0,2.0,4.0,1,0,92,10.0,6.0,52,7.0
1,0.0,189000.0,855.0,1.0,1.0,1.0,1.0,1,0,81,5.0,3.0,56,2.0
1,16000.0,675000.0,3384.0,3.0,2.0,1.0,4.0,1,0,189,11.0,5.0,56,7.0
1,0.0,496000.0,1409.0,2.0,1.0,2.0,2.0,3,0,37,10.0,6.0,118,4.0
1,50000.0,750000.0,1630.5,0.0,0.0,1.0,0.0,1,0,69,4.0,2.0,51,0.0
1,0.0,1250000.0,3306.0,4.0,2.0,2.0,4.0,2,0,18,9.0,6.0,128,8.0
1,9000.0,360000.0,790.0,1.0,0.0,1.0,2.0,2,0,92,9.0,3.0,74,3.0
1,20000.0,480000.0,1931.0,3.0,2.0,2.0,3.0,1,0,83,5.0,2.0,23,6.0
1,15000.0,368000.0,1019.0,2.0,1.0,1.0,2.0,1,0,62,12.0,8.0,20,4.0
0,30000.0,310000.0,714.0,1.0,0.0,1.0,1.0,1,0,91,5.0,3.0,92,2.0
1,0.0,395000.0,959.0,2.0,1.0,1.0,2.0,3,0,35,7.0,4.0,39,4.0
1,0.0,522500.0,1654.0,2.0,2.0,1.0,3.0,1,0,70,7.0,3.0,68,5.0
1,6000.0,415000.0,662.0,1.0,1.0,1.0,1.0,1,0,90,8.0,4.0,127,2.0
1,15000.0,784000.0,2724.0,3.0,2.0,1.0,4.0,1,0,94,14.0,7.0,57,7.0
1,0.0,328500.0,851.0,1.0,1.0,1.0,1.0,3,0,44,9.0,4.0,41,2.0
1,0.0,487000.0,1766.0,2.0,0.0,1.0,3.0,1,0,46,5.0,2.0,98,5.0
1,19100.0,525000.0,1351.0,2.0,1.0,1.0,3.0,2,0,65,7.0,4.0,72,5.0
1,0.0,345000.0,590.0,1.0,0.0,1.0,1.0,2,0,29,9.0,6.0,87,2.0
1,0.0,1500000.0,2528.0,3.0,2.0,1.0,3.0,1,0,79,14.0,8.0,52,6.0
1,0.0,419000.0,797.0,1.0,1.0,1.0,2.0,1,0,63,9.0,5.0,72,3.0
1,20000.0,555000.0,1041.0,2.0,1.0,1.0,2.0,1,0,58,9.0,5.0,24,4.0
1,0.0,428000.0,2028.0,2.0,1.0,1.0,5.0,1,0,52,7.0,2.0,61,7.0
0,0.0,225000.0,778.0,1.0,0.0,3.0,1.0,2,0,0,8.0,5.0,8,2.0
1,25000.0,823500.0,2080.0,3.0,2.0,1.0,4.0,2,0,70,9.0,5.0,66,7.0
1,0.0,1550000.0,3563.0,4.0,2.0,2.0,4.0,1,0,35,12.0,7.0,8,8.0
1,10000.0,623000.0,2386.0,2.0,2.0,2.0,4.0,1,0,109,8.0,4.0,51,6.0
1,5000.0,219000.0,634.0,1.0,2.0,1.0,1.0,2,0,62,9.0,3.0,50,2.0
1,0.0,390000.0,1824.0,2.0,0.0,1.0,3.0,1,0,56,6.0,4.0,59,5.0
1,24000.0,765000.0,2015.0,3.0,2.0,1.0,4.0,1,0,161,10.0,6.0,72,7.0
1,4000.0,718750.0,1991.0,3.0,0.0,2.0,4.0,1,0,51,11.0,5.0,115,7.0
1,0.0,174632.0,864.0,1.0,1.0,2.0,2.0,2,0,36,10.0,5.0,50,3.0
1,0.0,755000.0,2231.0,3.0,0.0,1.0,4.0,1,0,22,9.0,5.0,68,7.0
1,0.0,1125000.0,3529.0,4.0,2.0,2.0,4.0,1,0,35,13.0,8.0,12,8.0
1,0.0,466000.0,1080.0,1.0,1.0,1.0,2.0,1,0,49,11.0,5.0,42,3.0
1,0.0,540000.0,1178.0,1.0,2.0,1.0,3.0,1,0,35,9.0,4.0,115,4.0
1,0.0,750000.0,2569.0,3.0,2.0,1.0,3.0,1,0,37,8.0,3.0,63,6.0
1,0.0,1460000.0,3871.0,5.0,2.0,3.0,5.0,1,0,54,13.0,8.0,8,10.0
1,0.0,779000.0,1717.0,3.0,2.0,1.0,3.0,1,0,23,14.0,7.0,80,6.0
1,0.0,485000.0,1197.0,2.0,1.0,2.0,2.0,1,0,53,11.0,6.0,111,4.0
1,5000.0,425000.0,1508.0,2.0,2.0,2.0,2.0,1,0,55,5.0,2.0,3,4.0
